line,class
"loading rate:5000mt pwwd shinc","Ld rate"
"discharging rate:5000mt pwwd shinc","Ld rate"
"laycan:25th,april - 5th may,2017","Laycan date"
"21-Apr-17 4:57 PM","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp lumut, malaysia (max 9.0m sw)",Ports
"load rate : 4,000mt pwwd fhinc","Ld rate"
"laycan : 25th april-5th may 2017","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp teluk bayur(padang), indonesia (9.5m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp lumut, malaysia (max 9.0m sw)",Ports
"load rate : 4,000mt pwwd fhinc","Ld rate"
"laycan : 25th april-5th may 2017","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp teluk bayur(padang), indonesia (9.5m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"Quantity  30,000 mt +/-5%",Quantity
"Load rate  4500 pmt fhex eiu","Ld rate"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp lumut, malaysia (max 9.0m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : 25th april-5th may 2017","Laycan date"
"Cargo: Mill Scale",Description
"Laycan: early may, try vsl dates","Laycan date"
"Laycan 25 May -1ST June 2017","Laycan date"
"21-Apr-17 3:30 PM","Laycan date"
"loading port : 1sbp bandar abbas, iran",Ports
"disch port : 1sbp teluk bayur(padang), indonesia (9.5m sw)",Ports
"load rate : 5,000mt pwwd fhinc","Ld rate"
"laycan : prompt/onward","Laycan date"
"laycan: 20-25th apr 2017","Laycan date"
"load rate: 4500mt shinc pwwd","Ld rate"
"disch rate: 5500mt shinc pwwd","Ld rate"
"Loading port : Sohar, Oman (JSIS Terminal)",Ports
"Discharging port : Jakarta, Indonesia",Ports
"Comm 2.5% add pus",Commision
"Laycan 10-15 APR 2017","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"Laycan 16-19th May","Laycan date"
"Discharge port  1Sbp S.China(10.5m fw)",Ports
"Loading rate 8000shinc ","Ld rate"
"Discharge rate 12000shinc","Ld rate"
"Laycan 16-19th May","Laycan date"
"Discharge port  1Sbp S.China(10.5m fw)",Ports
"Loading rate 8000shinc","Ld rate"
"Discharge rate 12000shinc","Ld rate"
"laycan starting fm april 2017","Laycan date"
"l/d 5.000 / 3.500 mt","Laycan date"
"quantity : (250.000 )mt .",Quantity
"laycan : vsl date..","Laycan date"
"comm 1.25 % brokerage pus",Commision
"Laycan 16-19th May","Laycan date"
"Discharge port  1Sbp S.China(10.5m fw)",Ports
"Loading rate 8000shinc ","Ld rate"
"Discharge rate 12000shinc","Ld rate"
"Weight_1 : 41000",Quantity
"Weight_2 : 41000",Quantity
"Disch Port: Chittagong Bangladesh ",Ports
"Quantity: 29000mts to 30000mts Max {CAN TRY SMALLER DWT VESSEL}",Quantity
"Laycan: SPOT to 17th April 17 ","Laycan date"
"Cargo readiness at port ",Description
"Loading / discharging: with ships crane only   ","Ld rate"
"Load Rate: 10000mts  ","Ld rate"
"Discharge rate: 3000Mts","Ld rate"
"Discharge Port Demurrage:  Every 7 days demurrage will be given once vessel in demurrage.",Ports
"10/15 APRIL","Laycan date"
"Laycan 20-30th, Apr","Laycan date"
"Loading port  1sbp Iran Bik",Ports
"discharge port  1sbp China  RIVER PORT(10.5M FW)",Ports
"loading rate 5000 fhinc","Ld rate"
"discharge rate 10000 shinc","Ld rate"
"Laycan 16-19th May","Laycan date"
"Discharge port  1Sbp S.China(10.5m fw)",Ports
"Loading rate 8000shinc ","Ld rate"
"Discharge rate 12000shinc","Ld rate"
"10/15 APRIL","Laycan date"
"17/22 APRIL","Laycan date"
"17/22 APRIL","Laycan date"
"17/22 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25-30 April,2017","Laycan date"
"End april","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"End april","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"26/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"25/30 APRIL","Laycan date"
"10/15 APRIL","Laycan date"
"1/5 APRIL","Laycan date"
"10/15 MAY","Laycan date"
"1/5 MAY","Laycan date"
"01/05 MAY","Laycan date"
"Laycan 15-17 April (try any 3 days spread)","Laycan date"
"Laycan 21-24 April","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan May 01/05 basis UKI as first loadport","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 21-24 April","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 27 April / 1 May","Laycan date"
"Laycan May 01/05 basis UKI as first loadport","Laycan date"
"Laycan 20-25 April basis Sluiskil as first port","Laycan date"
"Laycan 15-17 April (try any 3 days spread)","Laycan date"
"-Laycan April 17/21","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"8-15 April ","Laycan date"
"Laycan 27 April / 1 May","Laycan date"
"Laycan May 05/07 basis UKI as first load port","Laycan date"
"8-15 April ","Laycan date"
"1/5 MAY – TRY LATER","Laycan date"
"5/10 may","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"laycan 22/25 April ","Laycan date"
"6 ttl days shinc","Ld rate"
"- Dish: 6,000 mt pwwd FSHINC ","Ld rate"
"laycan 4-8 May 2017","Laycan date"
"18000 shinc / cqd ","Ld rate"
"6-15 April","Laycan date"
"5-10 MAY ","Laycan date"
"23-27 APRIL","Laycan date"
"25-30 APRIL","Laycan date"
"30 MARCH ONW","Laycan date"
"1000/1000 ","Ld rate"
"29 APRIL ONW","Laycan date"
"8 MAY ONW ","Laycan date"
"24/28 APRIL","Laycan date"
"2nd half may","Laycan date"
"2 MAY ONW ","Laycan date"
"discharge rate and port agent","Ld rate"
"Discharge port rotation in owrs option and in accordance with draft allowance in discharge ports",Ports
"Antwerp: 5.000t shinc","Ld rate"
"15 April /onw ","Laycan date"
"ldg 1-5 may","Laycan date"
"12-20 may","Laycan date"
"5000 sshex / cqd","Ld rate"
"end April/early May","Laycan date"
"12-20 may","Laycan date"
"4,000c/96hrs sshinc","Ld rate"
"1-10 June","Laycan date"
"4000 sshex / cqd","Ld rate"
"end April/early May","Laycan date"
"Laycan: 5-11 May ","Laycan date"
"5000 sshex / cqd","Ld rate"
"end April/early May","Laycan date"
"Discharge port rotation in owrs option and in accordance with draft allowance in discharge ports",Ports
"Antwerp: 5.000t shinc","Ld rate"
"1-10 June","Laycan date"
"4000 sshex / cqd","Ld rate"
"spot/10th May","Laycan date"
"14-19 april","Laycan date"
"discharge port: 1sbp qinzhou or tianjin, china               ",Ports
"l/d rate: 7000/10000 pwwd shinc    ","Ld rate"
"Laycan Prompt Onwards, try vsl dates","Laycan date"
"Laycan 14/17 April , try vsl dates","Laycan date"
"5k/2k pwwd shinc","Ld rate"
"Laycan: 15 - 20 April ","Laycan date"
"16-19 may","Laycan date"
"-  20/25 April","Laycan date"
"-  18,000 shinc / 5000 shinc","Ld rate"
"= L/C 29 MAR/8 APR","Laycan date"
"8,000 SHINC / 10,000 SHINC","Ld rate"
"5/15 April","Laycan date"
"L/VC 1/10 APRIL","Laycan date"
"L/C 25/30 APR.","Laycan date"
"l/c 1/10 apr","Laycan date"
"5,000 shinc / 4,000 shex uu","Ld rate"
" L/C 3/4 APRIL","Laycan date"
" 2,000 / 2,000 SHINC","Ld rate"
" 2,000 SHINC/2,000 SSHEX","Ld rate"
" 1,500 / 2,500 SHINC","Ld rate"
"L/C 7/12 APRIL","Laycan date"
"7000 SHINC/3000 FHINC","Ld rate"
"7/15 April","Laycan date"
"L/C 7/12 APRIL","Laycan date"
"7000 SHINC/3000 FHINC","Ld rate"
"- Prompt / April","Laycan date"
"L/C 10/15 APRIL","Laycan date"
"l/c 1/7 May","Laycan date"
"21-30 APRIL","Laycan date"
"L/C 8/14 APRIL","Laycan date"
"8000/12000 shinc","Ld rate"
"48 TTL HRS SSHEX","Ld rate"
"7/15 April","Laycan date"
"- L/C 28/Sept/2017","Laycan date"
"27 April/1 May","Laycan date"
"L/C 7/15 April","Laycan date"
"l/c 9/11 April","Laycan date"
"2,500 sshex / 2,500 shinc","Ld rate"
"2,000 shinc / 2,000  sshex","Ld rate"
"18 apr/onw","Laycan date"
"10 ttl days shinc","Ld rate"
"L.Rate: 10,000mt pwwd shinc","Ld rate"
"D.Rate:  7,000mt pwwd shinc","Ld rate"
"- Prompt / April","Laycan date"
"L/c 1-10 May","Laycan date"
"L/c 30 Apr/Onw","Laycan date"
"L/C 25/30 Apr","Laycan date"
"4,000 Shinc / 3,000 Shinc","Ld rate"
"L.Rate: 10,000mt pwwd shinc","Ld rate"
"D.Rate:  7,000mt pwwd shinc","Ld rate"
"L/C 25/30 April","Laycan date"
"20,000 / 7000 shinc","Ld rate"
"6000 shinc / 3000 fhinc","Ld rate"
"L/C 25/30 Apr","Laycan date"
"4,000 Shinc / 3,000 Shinc","Ld rate"
"6,500/2,500 SHINC DHD","Ld rate"
"10,000/8,000 SHINC","Ld rate"
"6,500/2,500 PWWDSHINC DHD","Ld rate"
"10,000/8,000 SHINC","Ld rate"
"L/C END MAY","Laycan date"
"10,000/8,000MT SHINC","Ld rate"
"L/C 10/20 May","Laycan date"
"L/c 15-20 May","Laycan date"
"6,500/2,500 PWWDSHINC DHD","Ld rate"
"10,000/8,000 SHINC","Ld rate"
"L/C END MAY","Laycan date"
"10,000/8,000MT SHINC","Ld rate"
"L/D Ports: Constanta (Draft / Areal Draft 8.00M / 11.00M) / Mukalla 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 3000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Ports: Adabiya/ Mombasa 1/1 Gsbp Aaaa Bends",Ports
"L/D Rate: 7,000/5,000 Tons Pwwd Fshinc/ Shinc Bends","Ld rate"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Ports: Constanta (Draft / Aerial Draft 8.00M / 11.00M) / Mukalla 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 3000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Rates: 4000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"L/D Ports Iskenderun + Mersin / Port Sudan 2/1 Gsbp Aaaa Bends",Ports
"Discharging Rate 1500 Tons Pwwd Fshex Bss Eiu ","Ld rate"
"Laycan: 25 – 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports Iskenderun + Mersin / Port Sudan 2/1 Gsbp Aaaa Bends",Ports
"Discharging Rate 1500 Tons Pwwd Fshex Bss Eiu ","Ld rate"
"Laycan: 25 – 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports: Iskenderun + Mersin / Port Sudan 2/1 Gsbp Aaaa Bends",Ports
"Discharging Rate: 1500 Tons Pwwd Fshex Bss Eiu","Ld rate"
"Laycan: 25 – 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports: Iskenderun / Port Sudan 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 2000 / 1500 Tons Pwwd Sshex / Fshex Bss Eiu","Ld rate"
"Laycan: 20– 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports: Mersin / Port Sudan 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 2000 / 1500 Tons Pwwd Sshex/ Fshex Bss Eiu","Ld rate"
"Laycan: 25 – 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports: Iskenderun / Port Sudan 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 2000 / 1500 Tons Pwwd Sshex / Fshex Bss Eiu","Ld rate"
"Laycan: 20– 30 April 17, Can Try Vsl Dates","Laycan date"
"L/D Ports: Mersin / Port Sudan 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 2000 / 1500 Tons Pwwd Sshex/ Fshex Bss Eiu","Ld rate"
"Laycan: 25 – 30 April 17, Can Try Vsl Dates","Laycan date"
"- APR 7 ON","Laycan date"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- APRIL 9 ON","Laycan date"
"- APR 15 ON","Laycan date"
"- 7000 SHINC/12000 SHINC","Ld rate"
"- APR 15 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
"- APR 21 ON","Laycan date"
"- 7000 SHINC/12000 SHINC","Ld rate"
"- APRIL 9 ON","Laycan date"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- APRIL 21 ON","Laycan date"
"- 5000 SHINC/8000 SHINC","Ld rate"
"27-30 APRIL","Laycan date"
"15 APRIL ONWARD","Laycan date"
"laycan 5th – 10th May","Laycan date"
"Comm 2.5 PCT pus",Commision
"- MAY 5 ON","Laycan date"
"- 7000 SHINC/7000 SHINC","Ld rate"
"- MAY 10 ON","Laycan date"
"- 3000 SHINC/3000 SHINC","Ld rate"
"27-31 MARCH ","Laycan date"
"- L/C:25-30TH,APR;","Laycan date"
"- L/C:25-30TH,APR;","Laycan date"
"27-30 APRIL","Laycan date"
"QUANTITY        :           30 – 40,000 M/TONS (ABOUT) TO BE FINALIZED",Quantity
"LAYCAN            :           TENTATIVELY 5TH TO 9TH JUNE 2017","Laycan date"
"- APRIL 18 ON","Laycan date"
"- 5000 SHINC/7000 SHINC","Ld rate"
"- APRIL 23 ON","Laycan date"
"- 7000 SHINC/5000 SHINC","Ld rate"
"- APR 21 ON","Laycan date"
"- 7000 SHINC/12000 SHINC","Ld rate"
"10-20 april","Laycan date"
"- APRIL 23 ON","Laycan date"
"- 7000 SHINC/5000 SHINC","Ld rate"
"10-20 april","Laycan date"
"Loading rates 5k mts pwwd shinc bss 4 x 20 mts","Ld rate"
"28 MARCH ONW ","Laycan date"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"5 APRIL ONW ","Laycan date"
"3 APRIL ONW ","Laycan date"
"5 APRIL ONW ","Laycan date"
"3 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"3 APRIL ONW ","Laycan date"
"3 APRIL ONW ","Laycan date"
"5 APRIL ONW ","Laycan date"
"03/09 April","Laycan date"
"36 SASHEX / 36 SHINC ","Ld rate"
"19 JUNE ONW","Laycan date"
"4 APRIL ONW ","Laycan date"
"4 APRIL ONW ","Laycan date"
"36 SASHEX / 36 SHINC ","Ld rate"
"4 APRIL ONW","Laycan date"
"15 APRIL ONW ","Laycan date"
"10 APRIL ONW ","Laycan date"
"10 APRIL ONW ","Laycan date"
"10 APRIL ONW ","Laycan date"
"6 ttl days sshex/sshex","Ld rate"
"1000/1000 ","Ld rate"
"13 APRIL  ONW ","Laycan date"
"13 APRIL ONW ","Laycan date"
"20 APRIL ONW ","Laycan date"
"13 APRIL  ONW","Laycan date"
"20 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"18 APRIL ONW ","Laycan date"
1000/1000,"Ld rate"
"20 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"21 APRIL ONW ","Laycan date"
"Shipment: April ","Laycan date"
"21 APRIL ONW ","Laycan date"
"18 APRIL ONW ","Laycan date"
"18 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"21 APRIL ONW ","Laycan date"
"21 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"22 APRIL ONW ","Laycan date"
"13/17 APRIL","Laycan date"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"1000/1000 ","Ld rate"
"18 APRIL ONW ","Laycan date"
"1000/1000 ","Ld rate"
"22 APRIL ONW ","Laycan date"
"02 MAY ONW ","Laycan date"
"1 MAY ONWARD ","Laycan date"
"1000/1000 ","Ld rate"
"Loading Port: Porto Marghera, Italy ",Ports
"Discharge Port: Dammam port , Saudi Arabia.",Ports
"Loading port:",Ports
"Discharge port:",Ports
"1000/1000 ","Ld rate"
"2 MAY ONW ","Laycan date"
"1000/1000 ","Ld rate"
"02 MAY ONW ","Laycan date"
"8 MAY ONW ","Laycan date"
"l/d 1500/1250","Laycan date"
"Quantity   : 10,000 OR 15,000 Mts",Quantity
"Loading rate : 3000 PWWD SHEX EIU","Ld rate"
"Discharge port : Abu Dhabi ",Ports
1000/1000,"Ld rate"
"Quantity   : 10,000 OR 15,000 Mts",Quantity
"Loading rate : 3000 PWWD SHEX EIU","Ld rate"
"Discharge port : Abu Dhabi ",Ports
"8 MAY ONW ","Laycan date"
"Quantity : 10,000 mt, Or 11,000 mt, Or 15,000 Mts, All in Choptn",Quantity
"Discharge port : Abu Dhabi ",Ports
"Laycan: 10 to 20 May","Laycan date"
"Disch port: Pemba Island in Zanzibar, Tanzania",Ports
"Disch rate: 500 mt PWWD SAT NOON SHEX EIU ( Bss 2 Cranes )","Ld rate"
"Quantity : About 10,000 mt, Or 11,000 mt, Or 15,000 Mts, All in Choptn",Quantity
"Loading rate : 3000 mt, PWWD SSHEX EIU","Ld rate"
"Discharge port : Abu Dhabi ",Ports
"LAYCAN ; TRY SHIP'S DATE W/IN APR/MAY 2017","Laycan date"
"LAYCAN ; TRY SHIP'S DATE W/IN APR/MAY 2017","Laycan date"
"LAYCAN ; TRY SHIP'S DATE W/IN APR/MAY 2017","Laycan date"
"LAYCAN ; TRY SHIP'S DATE W/IN APR/MAY 2017","Laycan date"
"mid may","Laycan date"
"20-30 apr ","Laycan date"
"20-30 apr ","Laycan date"
"5000 ssinc / 5000 sshex","Ld rate"
"20-30 apr ","Laycan date"
"5000 ssinc / 5000 sshex","Ld rate"
"Apr 1 - 10, 2017 ","Laycan date"
"20-27 apr","Laycan date"
"Apr 1 - 10, 2017 ","Laycan date"
"01-07 May","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"20-27 April","Laycan date"
"12 total ww days shinc","Ld rate"
"laycan 4-8 May 2017","Laycan date"
"18000 shinc / cqd ","Ld rate"
"18/24 April","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"22/25 April ","Laycan date"
"6 ttl days shinc ","Ld rate"
"01-07 May","Laycan date"
"April 24th – May 4","Laycan date"
"April 24th – May 4","Laycan date"
"8/15 May","Laycan date"
"27 April/5 May","Laycan date"
"5000 ssinc/ 2500 sshex","Ld rate"
"5000 ssinc/ 5000 sshex","Ld rate"
"5000 ssinc/ 5000 sshex","Ld rate"
"5000 ssinc/ 5000 sshex","Ld rate"
"5000 ssinc/ 5000 sshex","Ld rate"
"20-27 apr","Laycan date"
"5000 ssinc/ 5000 sshex","Ld rate"
"20-27 apr","Laycan date"
"20-27 apr","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"20-27 apr","Laycan date"
"20-27 apr","Laycan date"
"5000 ssinc/ 5000 sshex","Ld rate"
"12 total ww days shinc","Ld rate"
"20-27 April","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"Loading rate: 8000 mt pwwd sshinc","Ld rate"
"Laycan: 04-06/04/2017","Laycan date"
"Discharging rate: 2000 mt pwwd sshex UU, IUATUTC","Ld rate"
"Loading rate: 8000 mt pwwd sshinc","Ld rate"
"Laycan: 04-06/04/2017","Laycan date"
"Discharging rate: 2000 mt pwwd sshex UU, IUATUTC","Ld rate"
"1700 shinc / 1000 shinc ","Ld rate"
"25/30 April 2017 ","Laycan date"
"DISCHARGE PORT : 1 SP 1 SA 2 SB MOA, CUBA",Ports
"DISCHARGE RATE : 5,000 MT PWWD SHINC, 12 HOURS TURN TIME ","Ld rate"
"LAYCAN : 08th - 10th APRIL, 2017 ","Laycan date"
"Laycan 15-17 April (try any 3 days spread)","Laycan date"
"1700 shinc / 1000 shinc ","Ld rate"
"Loading rate: 8000 mt pwwd shinc","Ld rate"
"Laycan: 13-15/04/2017","Laycan date"
"Loading rate: 8000 mt pwwd shinc","Ld rate"
"Laycan: 13-15/04/2017","Laycan date"
"Laycan 20-25 April basis Sluiskil as first port","Laycan date"
"laycan 23-27 April ","Laycan date"
"7ttl days shinc ","Ld rate"
"Laycan 15-17 April (try any 3 days spread)","Laycan date"
"CARGO AMENDMENT",Description
"Laycan 25th - 30th April","Laycan date"
"LAYCAN : 25TH APRIL - 05TH MAY, 2017 ","Laycan date"
"DISCHARGE PORT : VIZAG, INDIA ",Ports
"DISCHARGE RATE : 1,500 MT PWWD SHEX EIU. NOR AND TURN TIME AS PER GENCON.","Ld rate"
"laycan 22/25 April ","Laycan date"
"6 ttl days shinc ","Ld rate"
"Lcan 22/25 apr","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"laycan 4-8 May 2017","Laycan date"
"18000 shinc / cqd ","Ld rate"
"Loading rate: 8000 mt pwwd sshinc","Ld rate"
"Laycan: 23-25/04/2017 ","Laycan date"
"DISCHARGE PORT : 1 SP 1 SA 2 SB GANGAVARAM, INDIA ",Ports
"DISCHARGE RATE : 10,000 MT PWWD SASHEX EIU, OFFICE HOURS TURN TIME. ","Ld rate"
"Laycan 20th April - 30th April, Narrow down 5 days. ","Laycan date"
"LAYCAN : 1ST HALF MAY, 2017 ","Laycan date"
"DISCHARGE PORT : VIZAG, INDIA ",Ports
"DISCHARGE RATE : 1,500 MT PWWD SHEX EIU. NOR AND TURN TIME AS PER GENCON. ","Ld rate"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 21-24 April","Laycan date"
"Loading rate: 8000 mt pwwd sshinc","Ld rate"
"Laycan: 26-28/04/2017 ","Laycan date"
"23 APRIL ONW","Laycan date"
"Loading rate: 8000 mt pwwd sshinc","Ld rate"
"Laycan: 26-28/04/2017 ","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"Laycan 21-24 April","Laycan date"
"23 APRIL ONW","Laycan date"
"Laycan 25-27 April basis Kokkola as first port","Laycan date"
"COMM 1,25 ADD COM PUS",Commision
"Disch port:  Itaqui & Rio Grande, Brazil , option Porto Alegre as 3rd DP .                  ",Ports
"Quantity:     abt 27,000mt Bulk Harmless Fertilizers ",Quantity
"L/D rate:      4,000mt shex (9kmt Tees) & 9,000 shinc (18kmt AMS) / 3,000 shinc Brazil","Ld rate"
"Cargo:         BHF",Description
"Laycan May 01/05 basis UKI as first load port","Laycan date"
"Disch port:  Paranagua chopt Antonina, Brazil. ",Ports
"Quantity:     abt 28,000mt Bulk Harmless Fertilizers.",Quantity
"L/D rate:      4,500sshex / 7,000c at Paranagua and 6,000c at Antonina  .","Ld rate"
"Disch port:  Paranagua chopt Antonina, Brazil. ",Ports
"Quantity:     abt 28,000mt Bulk Harmless Fertilizers.",Quantity
"L/D rate:      4,500sshex / 7,000c at Paranagua and 6,000c at Antonina  .","Ld rate"
"DISCHARGE PORT : VIZAG, INDIA",Ports
"DISCHARGE RATE : 1,500 MT PWWD SHEX EIU. NOR AND TURN TIME AS PER GENCON.","Ld rate"
"LAYCAN : 1ST HALF MAY, 2017","Laycan date"
"Laycan 27 April / 1 May","Laycan date"
"1/10 MAY","Laycan date"
"2nd half may,2017","Laycan date"
"2nd half may,2017","Laycan date"
"Disch port: Amsterdam                     ",Ports
"Quantity: 20,000-40,000mt BHF ",Quantity
"L/D rate:  7,000 Shex / 10,000 Shinc ","Ld rate"
"Disch port:  Paranagua chopt Antonina, Brazil. ",Ports
"Quantity:     abt 28,000mt Bulk Harmless Fertilizers.",Quantity
"L/D rate:      4,500sshex / 7,000c at Paranagua and 6,000c at Antonina  .","Ld rate"
"Laycan May 05/07 basis UKI as first load port","Laycan date"
"Laycan 27 April / 1 May","Laycan date"
"Discharge port: Mongla/Chittagong.(Bangladesh)",Ports
"Load Rate: 11000mt per day","Ld rate"
